"siteID","sitetype","habitat_type","FunGroup","spe_sta","com_sta","spe_phi","alpha_richness","alpha_shannon","alpha_simpson","y_length","tmp","sd_temp"
"1009","Lake","Lentic","Producer",0.466524928,0.950716416,2.037868417,38.26315789,1.146319549,0.467578598,19,10.0111981322105,1.39492634639613
"1009","Lake","Lentic","Consumer",1.277968892,3.088823769,2.416978838,40.52631579,2.252059822,0.81753208,19,10.0111981322105,1.39492634639613
"13002","Lake","Lentic","Producer",0.302807256,0.72124542,2.381863063,27.57894737,1.139635223,0.487678364,19,9.55511118794737,1.06712873658399
"13002","Lake","Lentic","Consumer",0.539322204,1.180721782,2.189269743,16.05263158,1.577902869,0.682058449,19,9.55511118794737,1.06712873658399
"21278","Lake","Lentic","Producer",0.436880134,0.974961625,2.23164559,40.45,1.384225029,0.553748602,20,9.44608573865,1.45996131660354
"21278","Lake","Lentic","Consumer",0.664736957,1.357552323,2.042239878,26.9,1.870292605,0.766148643,20,9.44608573865,1.45996131660354
"21321","Lake","Lentic","Producer",0.395129331,0.834818889,2.112773778,35.94736842,1.457332315,0.618755148,19,9.41394517678947,1.07115669110183
"21321","Lake","Lentic","Consumer",1.231422979,2.919951999,2.371201488,34.10526316,2.474806802,0.871461316,19,9.41394517678947,1.07115669110183
"21324","Lake","Lentic","Producer",0.457506084,0.776077634,1.696321995,37.15789474,1.439293804,0.585319582,19,9.35855402678947,1.20285115762537
"21324","Lake","Lentic","Consumer",1.151418103,1.840427094,1.598400347,30.05263158,2.275111182,0.843377166,19,9.35855402678947,1.20285115762537
"25044","Lake","Lentic","Producer",0.441662704,0.895846364,2.028349588,34.45,1.459535205,0.60697405,20,9.6160096294,1.13972865555073
"25044","Lake","Lentic","Consumer",1.107821193,2.024833289,1.827761829,30.1,2.008444367,0.765141035,20,9.6160096294,1.13972865555073
"30005","Lake","Lentic","Producer",0.424275668,0.670545531,1.580447767,16.52631579,0.790045903,0.381357429,19,10.2125632314737,1.37701669017325
"30005","Lake","Lentic","Consumer",0.612899665,1.174485066,1.91627624,24.78947368,1.685927196,0.668429002,19,10.2125632314737,1.37701669017325
"31005","Lake","Lentic","Producer",0.594949622,1.63558917,2.749122125,17.73684211,0.915145788,0.389503831,19,9.72240333805263,1.39353588192617
"31005","Lake","Lentic","Consumer",0.842307319,2.682590497,3.184812047,20.68421053,1.621204979,0.691384327,19,9.72240333805263,1.39353588192617
"32004","Lake","Lentic","Producer",0.326289338,0.52099204,1.596717938,28.21052632,1.933119268,0.72423688,19,9.70812620563158,1.30449998265398
