"siteID","season"
"1009",4
"13002",4
"21278",4
"21321",4
"21324",4
"25044",4
"30005",4
"31005",4
"32004",4
"32005",4
"36005",4
"42003",4
"45003",4
"46007",4
"49001",4
"50002",4
"51004",4
"52005",4
"53017",4
"55002",4
"62003",4
"ABUR",1
"AHND",1
"AQUE",1
"ARIK",3
"BARC",3
"BLDE",3
"BLUE",3
"BULL",2
"Bush_River",4
"CARI",2
"CARP",2
"COMO",3
"CR",4
"CUPE",4
"Choptank_River",4
"Cluster_10",4
"Cluster_11",4
"Cluster_12",4
"Cluster_15",4
"Cluster_16",4
"Cluster_17",4
"Cluster_18",4
"Cluster_19",4
"Cluster_20",4
"Cluster_21",4
"Cluster_22",4
"Cluster_23",4
"Cluster_24",4
"Cluster_25",4
"Cluster_4",4
"Cluster_5",4
"Cluster_6",4
"Cluster_7",4
"Cluster_8",4
"East_Long_Lake",2
"Elk_River",4
"FXL",4
"GOLB",1
"GUIL",4
"HOPB",3
"IVEE",2
"KING",3
"LECO",3
"LEWI",3
"Lake_Taihu",4
"MAYF",3
"MCDI",3
"MCRA",3
"ME",4
"MO",4
"MOHK",1
"Magothy_River",4
"NAPL",2
"OKSR",2
"POSE",3
"PRIN",4
"PRLA",3
"PRPO",3
"Patapsco_River",4
"Patuxent_River",4
"Paul_Lake",3
"Peter_Lake",3
"Potomac_River",4
"REDB",3
"SCDI",1
"SCTW",1
"SP",4
"SUGG",3
"SYCA",4
"South_River",4
"Tuesday_Lake",3
"WALK",3
"WLOU",3
"West_Long_Lake",3
"York_River",4
"ZurichLake",4
